Name,Years,Opening,Closing,Street,Number,Postcode,City,lat,lng
103,1997 - 2008,1997,2008,Falckensteinstraße,47,10997,Berlin,52.5006502,13.4446987
90 Grad,1989 - 2009,1989,2009,Dennewitzstraße,37,10785,Berlin,52.4990404,13.3698522
Ackerkeller,1992 - 2010,1992,2010,Bergmann­straße,68,10961,Berlin,52.4892186,13.4003455
Antje Oklesund,2005 - 2015,2005,2015,Rigaer Straße,71-73,10247,Berlin,52.5163087,13.466368
Bar 25,2004 - 2010,2004,2010,Holzmarkt­straße,25,10243,Berlin,52.5119325,13.4253919
Boudoir,1992 - 1996,1992,1996,Brun­nen­straße,192,10119,Berlin,52.5305939,13.4002188
Bunker,1992 - 1996,1992,1996,Albrecht­straße,24,10117,Berlin,52.523574,13.3837303
Chalet,2015 - 2019,2015,2019,Schleusenufer,3,10997,Berlin,52.4976406,13.4497467
Club Villa,,2005,2011,Landsberger Allee,54,10249,Berlin,52.5249347,13.4433393
Club ZMF,2002 - 2013,2002,2013,Brun­nen­straße,10,10119,Berlin,52.5311832,13.4003117
Cookies,1994 - 2014,1994,2014,Fried­rich­straße,158,101117,Berlin,52.5164134,13.3887672
Cube Club,2012 - 2013,2012,2013,Rollbergstraße,26,12053,Berlin,52.4795442,13.4329424
Delicious Doughnuts,1993 - 2012,1993,2012,Rosenthaler­straße,9,10119,Berlin,52.5279064,13.4024598
E-Werk,1993 - 1997,1993,1997,Wilhelmstraße,43,10117,Berlin,52.5104679,13.3841461
Ecstasy,,1988,1992,Hauptstraße,30,10823,Berlin,52.4858778,13.3525276
"Eimer Club - ,,Kulturhaus |I.M. Eimer”",1990 - 2001,1990,2001,Rosenthaler Straße,68,10119,Berlin,52.5286657,13.402337
Elektro,1992 - 1994,1992,1994,Mauerstraße,15,10117,Berlin,52.5110202,13.386693
Exit,1993 - 1994,1993,1994,Fischerinsel,12,10179,Berlin,52.5125178,13.4047708
Farbfernseher,,2009,2019,Skalitzer Straße,114,10999,Berlin,52.4993121,13.424285
Galerie berlintokyo,1996 - 1999,1996,1999,Rosenthaler Straße,38,10119,Berlin,52.5243428,13.4026262
Glowing Pickle,1993 - 1995,1993,1995,Brun­nen­straße,192,10119,Berlin,52.5305939,13.4002188
Griessmühle,2012 - 2020,2012,2020,Son­nen­allee,221,12059,Berlin,52.4745524,13.4574865
Grüner Salon,1997 - 2017,1997,2017,Rosa-Luxemburg-Platz,2,10178,Berlin,52.5265396,13.4120016
Hangar49,2012 - 2020,2012,2020,Holzmarkt­straße,15-18,10179,Berlin,52.5136616,13.42292
Hirschbar,,1993,1998,Holzmarkt­straße,11,10179,Berlin,52.514091,13.4214201
Icon,1998 - 2012,1998,2012,Cantian­straße,15,10437,Berlin,52.5460308,13.411092
K17 / Nuke Club,1992 - 2021,1992,2021,Pet­tenk­o­fer­straße,17,10247,Berlin,52.51824999999999,13.47154
Kater Holzig,2010 - 2014,2010,2014,Mich­ael­kirch­straße,23,10179,Berlin,52.51186629999999,13.4229204
King-Kong-Klub,2003 - 2014,2003,2014,Brun­nen­straße,173,10119,Berlin,52.53288509999999,13.3984652
Kosmonaut / Polygon,2012 - 2017,2012,2017,Wiesenweg,1,10365,Berlin,52.50779,13.47485
M.I1.K.Z. / Spirograph,2009 - 2014,2009,2014,Revalerstraße,99,10245,Berlin,52.506874,13.4567305
Magdalena,,2012,2014,Schil­ling­brü­cke,1,10243,Berlin,52.5097557,13.4295114
Magnet,2001 - 2010,2001,2010,Fal­cken­stein­straße,48,10997,Berlin,52.5008317,13.4449051
Maria am Ostbahnhof,1998 - 2011,1998,2011,Schil­ling­brü­cke,1,10243,Berlin,52.5097557,13.4295114
Morlox,2009 - 2013,2009,2013,Haasestraße,13,10245,Berlin,52.5060601,13.4613304
Neue Berliner Initiative,,1990,2011,Zio­ns­kirch­straße,5,10119,Berlin,52.5357135,13.4011576
Ostgut / Panoramabar,1998 - 2003,1998,2003,Am Wriezener bhf,,10243,Berlin,52.5111954,13.4412313
Panasonic,1995 - 1997,1995,1997,Invaliden­straße,17a,10115,Berlin,52.5319772,13.3898209
Planet,1991 - 1993,1991,1993,Köpe­ni­cker Straße,50,10179,Berlin,52.5100249,13.4207469
Rosi’s,2003 - 2018,2003,2018,Revaler­straße,29,10245,Berlin,52.5051096,13.4624957
Rummels Bucht,2011 - 2022,2011,2022,Haupt­straße,1,10317,Berlin,52.5009719,13.4729846
SchwuZ #3,1995 - 2013,1995,2013,Meh­ring­damm,61,10961,Berlin,52.4908617,13.3871967
Stattbad Wedding,2009 - 2015,2009,2015,Gericht­straße,65,13347,Berlin,52.5440103,13.3723193
Subland,2011 - 2015,2011,2015,Wiesen­weg,5,10365,Berlin,52.5074281,13.4763546
Suicide Club,1994 - 1997,1994,1997,Dirck­sen­strasse,41,10178,Berlin,52.5239152,13.4067073
Tanzschule Schmidt,1993 - 1996,1993,1996,Rosenthaler Straße,3,10119,Berlin,52.5287424,13.4018007
Tape Club,2007 - 2012,2007,2012,Hei­de­straße,18,10557,Berlin,52.534073,13.365454
Tresor #1,1991 - 2005,1991,2005,Lei­pziger Straße,126a,10117,Berlin,52.5100971,13.3827519
Walfisch,1991 - 1993,1991,1993,Köpe­ni­cker Straße,76,10179,Berlin,52.5110649,13.4170934
WMF,1991 - 2010,1991,2010,Kloster­straße,44,10179,Berlin,52.51780189999999,13.4117099
R19,,2011,2016,Revaler Straße,19,10245,Berlin,52.50634789999999,13.4603887
